datetime,test case,p,mesh family,fine m,solvers m,coarse m,solver,random rhs,solution warmup steps,solution measurement steps,solution repetitions,DoFs,matrix nnz,metadata,residual norm,setup metadata,solve times,matrix and DOF map copy times,matrix permute times,solver setup times,rhs copy and permute times,solution permute and copy times,exception
2026-04-15T19:15:33.770851+00:00,continuous coefficient 2D,1,"uniform(2D,5)",S5,,,"CG(AMGX(L1_TRUNC, None), bsr_matmul=True)",False,0,1,1,6144,72576,"{'iterations': 22, 'residual norms': [3.356763832674468, 5.496248646330452, 3.075355112727678, 1.7948272750548755, 0.9408793021570373, 0.44056587104958034, 0.19791784240072907, 0.0972863341185847, 0.05114293488927268, 0.02596958254685773, 0.011876870045883876, 0.005788659610471066, 0.0030806273490303856, 0.0014963405214190463, 0.0007057520007384495, 0.0003290489316526943, 0.00016763133723685978, 8.459606858183241e-05, 4.149511236737405e-05, 2.008945905134748e-05, 1.0204883971460579e-05, 5.059339121774126e-06, 2.602078596064906e-06], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}], 'condition number estimate': 8.33095567719068}",2.6020785959155355e-06,,[2962.693115234375],[1.229632019996643],[0.02191999927163124],[336.85137939453125],[0.15292799472808838],[0.16064000129699707],
2026-04-15T19:15:34.172411+00:00,continuous coefficient 2D,1,"uniform(2D,5)",S5,,,"CG(AMGX(L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,1,6144,72576,"{'iterations': 22, 'residual norms': [3.356763832674468, 5.496248724702358, 3.075355053766041, 1.7948272743832983, 0.9408793402631284, 0.440565896062435, 0.19791784432509357, 0.09728633257551764, 0.051142934139333636, 0.025969581388780666, 0.011876869852885028, 0.005788659581572826, 0.0030806273265778675, 0.0014963405312237604, 0.000705751979279838, 0.0003290489227880698, 0.00016763132932783907, 8.459606076936281e-05, 4.149511203312461e-05, 2.0089460140346917e-05, 1.0204884999816387e-05, 5.0593395408579e-06, 2.602078561168351e-06], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}], 'condition number estimate': 8.330955645944227}",2.6020785613608145e-06,,[25.906272888183594],[3.523808002471924],[0.013311999849975109],[175.28582763671875],[0.20659199357032776],[0.07004799693822861],
2026-04-15T19:15:34.575186+00:00,continuous coefficient 2D,1,"uniform(2D,5)",S5,,,"CG(AMGX(AGGRESIVE_L1, None), bsr_matmul=True)",False,0,1,1,6144,72576,"{'iterations': 31, 'residual norms': [3.356763832674468, 8.349795421273964, 6.562390494693458, 4.491347496648918, 2.4891592518357153, 1.3381219576629753, 0.7232084029143641, 0.4313822357706554, 0.29706276908008833, 0.1777001900991581, 0.09695392791715422, 0.054355196553552705, 0.03406879209131981, 0.021391818139512936, 0.012977230522612324, 0.007432082319532404, 0.004307576003906062, 0.0027802917160970934, 0.0017652009102336235, 0.001036559674334448, 0.0005947431853082863, 0.00036077342391175574, 0.0002348002302655271, 0.0001476051281802594, 8.851867414954731e-05, 5.190905612396073e-05, 3.243941344943671e-05, 2.0675006995565258e-05, 1.2176853135850754e-05, 6.7760936737723e-06, 3.960440982819062e-06, 2.4902878609006744e-06], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}], 'condition number estimate': 16.04624570594285}",2.4902878596571542e-06,,[36.5590705871582],[0.6336320042610168],[0.01283199992030859],[168.50393676757812],[0.14374400675296783],[0.07203199714422226],
2026-04-15T19:15:34.965664+00:00,continuous coefficient 2D,1,"uniform(2D,5)",S5,,,"CG(AMGX(AGGRESIVE_L1, torch.float32), bsr_matmul=True)",False,0,1,1,6144,72576,"{'iterations': 31, 'residual norms': [3.356763832674468, 8.349795451475725, 6.562390356575665, 4.49134751819704, 2.4891591950379883, 1.3381219597403908, 0.7232084213744612, 0.4313822489312188, 0.2970627981214063, 0.17770020414968132, 0.09695393477817725, 0.054355202124586895, 0.034068795821072334, 0.021391819954341494, 0.012977231452005843, 0.007432083051617887, 0.004307576498256206, 0.002780292066324691, 0.0017652011345509146, 0.001036559808737509, 0.0005947432724228412, 0.0003607734864273527, 0.00023480029153383672, 0.00014760516968793022, 8.851869990981092e-05, 5.190906937697123e-05, 3.243942315040621e-05, 2.0675012536804153e-05, 1.2176856142211975e-05, 6.7760950195786176e-06, 3.960441880432592e-06, 2.4902886041401127e-06], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}], 'condition number estimate': 16.046246430934072}",2.4902886044002013e-06,,[37.45328140258789],[0.636031985282898],[0.01369599997997284],[164.3970184326172],[0.14271999895572662],[0.06918399780988693],
2026-04-15T19:15:35.354796+00:00,continuous coefficient 2D,1,"uniform(2D,5)",S5,,,"CG(AMGX(AGGRESSIVE_L1_TRUNC, None), bsr_matmul=True)",False,0,1,1,6144,72576,"{'iterations': 23, 'residual norms': [3.356763832674468, 7.061834850489776, 4.595724599701337, 2.0551553000485265, 0.8673714104962075, 0.41396504587798233, 0.24313933552130454, 0.10594106632957963, 0.04967373013935133, 0.026508875111690176, 0.013059699814774268, 0.005976992370809298, 0.003178147730014024, 0.0017445033387536199, 0.000828357867794202, 0.00041232828372131554, 0.00023117684851217858, 0.00011295679698877162, 5.635258492020909e-05, 3.0302004007577197e-05, 1.4477960642256152e-05, 6.702437615407655e-06, 3.627356352161717e-06, 1.8808723741731128e-06], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}], 'condition number estimate': 8.92127019192875}",1.8808723739174948e-06,,[27.727584838867188],[1.3255679607391357],[0.01283199992030859],[170.57171630859375],[0.150751993060112],[0.06627199798822403],
2026-04-15T19:15:35.760659+00:00,continuous coefficient 2D,1,"uniform(2D,5)",S5,,,"CG(AMGX(AGGRESSIVE_L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,1,6144,72576,"{'iterations': 23, 'residual norms': [3.356763832674468, 7.061834990474338, 4.5957244079277455, 2.055155259955141, 0.8673713965359405, 0.413965041751108, 0.24313933129546805, 0.10594106185778114, 0.049673727919707734, 0.026508874246885156, 0.013059699604540289, 0.005976991914658339, 0.003178147422540302, 0.0017445031605138155, 0.0008283578014848548, 0.0004123282797755003, 0.000231176860002163, 0.00011295680931124167, 5.635259323798085e-05, 3.030201007037768e-05, 1.4477964257703419e-05, 6.702439747943106e-06, 3.627357419199898e-06, 1.880872824402873e-06], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}], 'condition number estimate': 8.921270822506342}",1.8808728252492147e-06,,[28.72220802307129],[0.6604480147361755],[0.013088000006973743],[168.19183349609375],[0.1897599995136261],[0.07180800288915634],
2026-04-15T19:15:36.143807+00:00,continuous coefficient 2D,1,"uniform(2D,5)",S5,,,"CG(AMGX(AGGRESSIVE_CHEB_L1_TRUNC, None), bsr_matmul=True)",False,0,1,1,6144,72576,"{'iterations': 14, 'residual norms': [3.356763832674468, 2.1538164112301885, 0.5243542050291523, 0.230504583569471, 0.07249601308817039, 0.02425355895542078, 0.011102241755650735, 0.0031308928629171454, 0.0012524230340327435, 0.0005139210546034451, 0.0001430197923297387, 4.838213092611379e-05, 1.4923722581412274e-05, 6.622406996064689e-06, 2.681196094662064e-06], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}], 'condition number estimate': 4.258869195841426}",2.681196095897844e-06,,[24.255647659301758],[0.6542720198631287],[0.013055999763309956],[166.61875915527344],[0.1496960073709488],[0.06361600011587143],
2026-04-15T19:15:36.547971+00:00,continuous coefficient 2D,1,"uniform(2D,5)",S5,,,"CG(AMGX(AGGRESSIVE_CHEB_L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,1,6144,72576,"{'iterations': 14, 'residual norms': [3.356763832674468, 2.1538162876035387, 0.5243540797617781, 0.23050455774707823, 0.0724960021299405, 0.024253556440991086, 0.011102241354557956, 0.003130891971460515, 0.001252421954078989, 0.0005139202844233358, 0.0001430196328612625, 4.838207134404428e-05, 1.4923690205965006e-05, 6.622387016729824e-06, 2.681187512601247e-06], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}], 'condition number estimate': 4.258867619506362}",2.681187512992705e-06,,[24.26438331604004],[2.3980159759521484],[0.013535999692976475],[169.05357360839844],[0.14086399972438812],[0.059808000922203064],
2026-04-15T19:15:36.964664+00:00,continuous coefficient 2D,1,"uniform(2D,5)",S5,,,CUDSS,False,0,1,1,6144,72576,{},3.1183778388301787e-14,,[4.436575889587402],[0.7336959838867188],[0.015615999698638916],[230.42022705078125],[0.05180799961090088],[0.11337599903345108],
2026-04-15T19:18:05.580285+00:00,madness 2D,1,"uniform(2D,7)",S7,,,"CG(AMGX(L1_TRUNC, None), bsr_matmul=True)",False,0,1,1,98304,1175040,"{'iterations': 39, 'residual norms': [0.031474558525536094, 0.8676302192406277, 0.6814255679795624, 0.4049960909134965, 0.25624581975159366, 0.17134628399734222, 0.10590645996044985, 0.05462845510417727, 0.03625796424596528, 0.027917497398425153, 0.0215733697973624, 0.01831900975272439, 0.014755379204794994, 0.00986097526650078, 0.006833213074073422, 0.004436929338574388, 0.002525753304885263, 0.0017069236755597999, 0.0012031546236213253, 0.0007251521783807352, 0.0004790326800924747, 0.0003041960258170778, 0.00017720263024909047, 0.00010967746162355008, 6.672785956669353e-05, 3.72113986663903e-05, 2.1355820780283e-05, 1.3127602035499444e-05, 7.58253380710971e-06, 4.666503405367459e-06, 2.8354943180500695e-06, 1.6216687081209367e-06, 9.960329129840249e-07, 5.84189778108956e-07, 3.528415667705162e-07, 2.0887712067398712e-07, 1.2803230383274716e-07, 7.99777373197358e-08, 4.367293179531129e-08, 2.830230015350944e-08], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}], 'condition number estimate': 34.29842655904786}",2.8346140953537235e-08,,[2102.5400390625],[2.7639999389648438],[0.014240000396966934],[464.6719970703125],[0.27507200837135315],[0.5635520219802856],
2026-04-15T19:18:06.548593+00:00,madness 2D,1,"uniform(2D,7)",S7,,,"CG(AMGX(L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,1,98304,1175040,"{'iterations': 65, 'residual norms': [0.031474558525536094, 0.8038293738112607, 0.7583855942097513, 0.6473347739236678, 1.2321642331598255, 0.9328451970340836, 0.5518752291642353, 0.3623145492252969, 0.3577546653997267, 0.4854869071869173, 0.3579582939243722, 0.20815587129604637, 0.10459170814542422, 0.07627396036307874, 0.05587859536726798, 0.037083891170315075, 0.02877001882424334, 0.024313045166749037, 0.019167700864396828, 0.015397112911615125, 0.015956611073455477, 0.01662089879244927, 0.014171458873868645, 0.009642351579620281, 0.006789485228988471, 0.0050044741005340595, 0.0033835036985422036, 0.0026693635531260746, 0.0029861981994280785, 0.002769241051368919, 0.00204761202943445, 0.001276045815371142, 0.0008415021606341224, 0.0005362904644486087, 0.0003940714011844553, 0.0002602051779184788, 0.00015256735052550076, 8.53013978360424e-05, 5.396921517967267e-05, 5.156991269517464e-05, 5.7563928495337376e-05, 4.0951947594897645e-05, 2.6016246614385515e-05, 1.969273433797262e-05, 1.2957546641106622e-05, 7.37697850180348e-06, 4.823367996495079e-06, 4.075856796434174e-06, 4.881609413951505e-06, 3.5439021406128442e-06, 2.346809198416223e-06, 1.5040096068468233e-06, 9.505909814380457e-07, 6.761393091446685e-07, 4.4593545224179503e-07, 2.658845151310338e-07, 1.5917392801061996e-07, 1.0985883291681662e-07, 9.696202192053955e-08, 1.0924118743367e-07, 8.064828344544214e-08, 6.386849586057926e-08, 5.158051762303755e-08, 3.864118142720709e-08, 3.188295529720207e-08, 2.503970394780774e-08], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}], 'condition number estimate': nan}",2.511762744259364e-08,,[505.64715576171875],[4.7578558921813965],[0.013055999763309956],[156.57058715820312],[0.2523840069770813],[0.5455359816551208],
2026-04-15T19:18:07.058164+00:00,madness 2D,1,"uniform(2D,7)",S7,,,"CG(AMGX(AGGRESIVE_L1, None), bsr_matmul=True)",False,0,1,1,98304,1175040,"{'iterations': 42, 'residual norms': [0.031474558525536094, 1.0900368954459716, 1.0976146836729919, 0.7845775202086114, 0.6028339137296266, 0.46683073053461704, 0.321955732761592, 0.16504623261559653, 0.1140333815212491, 0.07498674751057882, 0.037866354926135694, 0.024876674190547055, 0.017524591232794328, 0.009702146414474025, 0.006452716890687701, 0.004458203347279974, 0.0024571539029385205, 0.0017615790930657824, 0.0011652969022058392, 0.0006599181645908002, 0.00048428820402847465, 0.0002955178044646579, 0.00017526760585051906, 0.000125351758837065, 7.255476126942412e-05, 4.856514415439455e-05, 3.150241496853542e-05, 1.9218240062226264e-05, 1.3530307466273122e-05, 8.146782496242411e-06, 5.593304370183454e-06, 3.749759080245613e-06, 2.281609521695092e-06, 1.5842428081990649e-06, 9.796712960250861e-07, 6.324832507180515e-07, 4.2258569338261994e-07, 2.525108938356416e-07, 1.673979819304365e-07, 1.0622858311905149e-07, 6.50446624426399e-08, 4.1957517866367234e-08, 2.6190646056957393e-08], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}], 'condition number estimate': 20.638318657018704}",2.6239066108051442e-08,,[56.79280090332031],[2.1183359622955322],[0.012223999947309494],[155.55174255371094],[0.2346239984035492],[0.17664000391960144],
2026-04-15T19:18:07.580034+00:00,madness 2D,1,"uniform(2D,7)",S7,,,"CG(AMGX(AGGRESIVE_L1, torch.float32), bsr_matmul=True)",False,0,1,1,98304,1175040,"{'iterations': 42, 'residual norms': [0.031474558525536094, 1.1145418338883533, 1.0974286949608894, 0.8027750025264139, 0.6221073067132734, 0.4888413085832584, 0.3344367049307838, 0.17891755034693446, 0.12130776597239207, 0.08039735687246977, 0.04143339462545105, 0.02639419342397774, 0.018387133747266218, 0.010677903754720235, 0.0067955339501844046, 0.00464848240089697, 0.0028369530080356448, 0.0017894128391608875, 0.0012485511145180967, 0.0007627703110764405, 0.0004782114044726555, 0.00033489525409464597, 0.00019951673981949007, 0.00012395875552853955, 8.727954416822117e-05, 5.227162670513771e-05, 3.339862096460751e-05, 2.3069266538054766e-05, 1.3989518071084753e-05, 9.393196434309055e-06, 6.247905718518631e-06, 3.998776206095779e-06, 2.7027298727201605e-06, 1.7626287168724503e-06, 1.1103643629901702e-06, 7.372248586682842e-07, 4.758509468612579e-07, 2.9829767559059304e-07, 1.9531909361731888e-07, 1.2215772648131238e-07, 7.787052653244791e-08, 4.879603845644581e-08, 3.043251394002019e-08], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}], 'condition number estimate': 21.027599408312103}",3.0475687292161566e-08,,[54.77113723754883],[2.263551950454712],[0.011711999773979187],[151.9769287109375],[0.2465279996395111],[0.14313599467277527],
2026-04-15T19:18:08.068075+00:00,madness 2D,1,"uniform(2D,7)",S7,,,"CG(AMGX(AGGRESSIVE_L1_TRUNC, None), bsr_matmul=True)",False,0,1,1,98304,1175040,"{'iterations': 30, 'residual norms': [0.031474558525536094, 0.9240206359824041, 0.768960340048034, 0.5467620482252157, 0.36257226884532007, 0.162571882837304, 0.09792637848228276, 0.04322705964501269, 0.02417020256590717, 0.013424545220196883, 0.006651617928836619, 0.003851259499254733, 0.0018634489088369018, 0.0011178394431941546, 0.0005439031723953754, 0.00031905752869705877, 0.00015169231712333016, 8.85898750456969e-05, 4.376514454632451e-05, 2.4073184856898162e-05, 1.2490578363668158e-05, 6.6635203296404604e-06, 3.5961089815476725e-06, 1.8722211511716828e-06, 1.028329896220832e-06, 5.333857552820209e-07, 3.0233035734781254e-07, 1.5477331514646842e-07, 8.762912609277027e-08, 4.489315704314337e-08, 2.4799096696169818e-08], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}], 'condition number estimate': 10.444451481291082}",2.4839994300528826e-08,,[43.73014450073242],[4.143072128295898],[0.012128000147640705],[151.99107360839844],[0.24579200148582458],[0.1462080031633377],
