datetime,test case,p,mesh family,fine m,solvers m,coarse m,solver,random rhs,solution warmup steps,solution measurement steps,solution repetitions,DoFs,matrix nnz,residual norm,metadata,setup metadata,solve times,matrix and DOF map copy times,matrix permute times,solver setup times,rhs copy and permute times,solution permute and copy times,exception
2025-12-26T12:25:35.062267+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S5,C4,C4,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,6144,72576,3.1677279434030307e-09,"{'iterations': 54, 'residual norms': [3.356763832674468, 10.192074349117387, 7.3811522520663555, 6.131239938822417, 3.535789861187857, 1.2297398080108233, 0.426001638231749, 0.2342068796365921, 0.11907398894525484, 0.05767533707131188, 0.06767831468710471, 0.06615247538543392, 0.025208822585597594, 0.012228872673531203, 0.008219819356108434, 0.010367515755404243, 0.006865626690475938, 0.0028435096407153438, 0.001698188833209586, 0.001619540058048758, 0.001093344273845043, 0.0009054084842978563, 0.0006304411843464545, 0.00028690595759517, 0.0001652578943717632, 0.00011602477427985597, 0.00012435130289558687, 8.066405872245133e-05, 4.884643927915082e-05, 2.357829135638092e-05, 1.779507505605847e-05, 1.6481304648740032e-05, 1.3362813403490445e-05, 1.0159583721519653e-05, 4.772027661514212e-06, 3.0604324778046156e-06, 3.060092188507739e-06, 2.305074632175349e-06, 1.7185350523432176e-06, 1.0780991215957718e-06, 4.926493767102778e-07, 2.919280098453343e-07, 2.985058105674094e-07, 2.1319877744652688e-07, 1.0630849928057019e-07, 7.626222913826989e-08, 5.6857003068368815e-08, 4.7638444692484085e-08, 3.491456953759603e-08, 2.1779708427437402e-08, 1.3338733008555907e-08, 1.0678715124249777e-08, 8.189103879332141e-09, 5.050723859301352e-09, 3.1677257420681052e-09], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[1518.4969482421875, 67.83475494384766, 67.78227233886719, 67.35132598876953, 67.73117065429688, 67.07286071777344, 65.82160186767578, 66.2375717163086, 66.24041748046875, 66.02899169921875]",[1.4504640102386475],[566.0152587890625],[1030.76123046875],[0.2070080041885376],[0.150176003575325],
2025-12-26T12:25:37.399252+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S5,C4,C4,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=True)",False,0,1,10,6144,72576,2.735234767503811e-09,"{'iterations': 32, 'residual norms': [9.4227533125164, 6.677180433623961, 5.346855625870131, 1.9897567408431371, 0.39738798003997944, 0.21004611834604528, 0.1514229474141298, 0.10112600094048006, 0.023338982523666632, 0.010142956972716003, 0.00502149276690736, 0.004243835364388972, 0.0027383234618637616, 0.0009143254728147958, 0.0003716167890685466, 0.00021056442910504154, 0.00018880865242718332, 6.506457684233835e-05, 3.109612965586937e-05, 1.2367725717141841e-05, 6.338991089696147e-06, 4.245385084987346e-06, 2.719953624544535e-06, 8.580722624457496e-07, 4.813183414299784e-07, 2.099856770844143e-07, 1.715672387604999e-07, 7.491689530628802e-08, 2.3960142685342537e-08, 1.6702152500637336e-08, 1.141576156405009e-08, 6.2828681649178815e-09, 2.7352329215213614e-09], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[187.67340087890625, 39.15526580810547, 39.866111755371094, 39.059871673583984, 38.431392669677734, 38.76249694824219, 38.68080139160156, 39.009342193603516, 39.76144027709961, 40.37081527709961]",[0.695743978023529],[602.2910766601562],[1023.1221313476562],[0.14694400131702423],[0.10704000294208527],
2025-12-26T12:25:38.694599+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S5,C4,C4,"CG(AMGX(L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,6144,72576,2.8309374227209182e-09,"{'iterations': 31, 'residual norms': [3.356763832674468, 5.619949660512468, 3.0401941900043594, 1.772965453259727, 0.9029038933132132, 0.414924745460401, 0.1817348333080654, 0.08713808278533926, 0.04367296784513625, 0.022501923000392523, 0.01096692791480031, 0.005263769618146466, 0.002594334868153569, 0.0012068825358734334, 0.0005868522805866437, 0.0002886283075832665, 0.00014123355679682227, 6.821321020199107e-05, 3.246855001038678e-05, 1.5322537248312573e-05, 7.5641421938571865e-06, 3.921628734689623e-06, 1.9458033020142145e-06, 9.383718982446883e-07, 4.419384818541019e-07, 2.1633723102383575e-07, 1.0964318667271674e-07, 5.29146724096772e-08, 2.4658529714420825e-08, 1.169691589996513e-08, 5.642519397217639e-09, 2.8309374196732048e-09], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[128.88099670410156, 33.94086456298828, 34.251712799072266, 34.158592224121094, 34.17388916015625, 33.56288146972656, 33.87500762939453, 33.87343978881836, 33.861759185791016, 34.10822296142578]",[0.6528000235557556],[625.3552856445312],[59.4925422668457],[0.13952000439167023],[0.1061440035700798],
2025-12-26T12:25:39.998529+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S5,C4,C4,"CG(AMGX(L1_TRUNC, None), bsr_matmul=True)",False,0,1,10,6144,72576,2.8309376177432493e-09,"{'iterations': 31, 'residual norms': [3.356763832674468, 5.619949502261165, 3.040194215681922, 1.7729653314068132, 0.9029038979417483, 0.41492474690976233, 0.18173484033621093, 0.0871380843632701, 0.04367296935403936, 0.022501922508536134, 0.01096692847941032, 0.005263769706761522, 0.002594335026827376, 0.0012068825780249793, 0.0005868523245480413, 0.0002886283229145358, 0.00014123356108411585, 6.821321350872565e-05, 3.246855341777905e-05, 1.5322539205284003e-05, 7.5641431288823575e-06, 3.921629519494628e-06, 1.9458039658441183e-06, 9.383722881569832e-07, 4.41938655126308e-07, 2.1633731425091492e-07, 1.0964322006077303e-07, 5.29146870129029e-08, 2.4658537533191928e-08, 1.1696919339401027e-08, 5.6425210317678474e-09, 2.8309380228013295e-09], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[131.45980834960938, 35.21779251098633, 35.749759674072266, 35.43065643310547, 35.08857727050781, 35.50486373901367, 34.9901123046875, 35.45622253417969, 35.64524841308594, 34.911582946777344]",[0.767520010471344],[628.135498046875],[47.901119232177734],[0.14550399780273438],[0.11923199892044067],
2025-12-26T12:25:40.918382+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S5,C4,C4,"AMGX(CG_L1_TRUNC, None)",False,0,1,10,6144,72576,2.830937831041587e-09,{},,"[7.142335891723633, 6.571807861328125, 6.529344081878662, 6.565120220184326, 6.5469441413879395, 6.5537919998168945, 6.546879768371582, 6.551487922668457, 6.5385918617248535, 6.5564799308776855]",[0.7400320172309875],[627.034423828125],[50.730430603027344],[0.14822399616241455],[0.11334399878978729],
2025-12-26T12:25:42.666864+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S5,C4,C4,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=False)",False,0,1,10,6144,72576,3.1676863110020885e-09,"{'iterations': 54, 'residual norms': [3.356763832674468, 10.192074368203302, 7.381152276144639, 6.131239938194737, 3.535789897098135, 1.2297398479520187, 0.4260016582191883, 0.23420686856956724, 0.119073971695778, 0.05767531977764473, 0.067678300158887, 0.0661524272166151, 0.025208801180788665, 0.012228863406919204, 0.008219813390387746, 0.010367511361683594, 0.006865619103663032, 0.0028435066405047573, 0.0016981888536325305, 0.001619538149339938, 0.0010933437760413539, 0.0009054078435634361, 0.0006304399825024391, 0.0002869054331465667, 0.0001652573374652819, 0.00011602481252994483, 0.00012435118000475202, 8.066363406426958e-05, 4.884619561093961e-05, 2.3578104786444997e-05, 1.7795058080837226e-05, 1.6481278037048778e-05, 1.336280718666499e-05, 1.0159495770983291e-05, 4.77199141275733e-06, 3.0604275012445097e-06, 3.0600927104564446e-06, 2.3050622046809203e-06, 1.7185334685437143e-06, 1.0780922673361237e-06, 4.926460807564952e-07, 2.9192676156231007e-07, 2.9850508675359606e-07, 2.1319849703256575e-07, 1.0630837182944457e-07, 7.62620347043632e-08, 5.6856845067070866e-08, 4.7638307850131766e-08, 3.491446055072679e-08, 2.177964776140059e-08, 1.3338709480997914e-08, 1.0678702871256541e-08, 8.189083555775447e-09, 5.050688691123716e-09, 3.167687855342809e-09], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[29.358112335205078, 28.502336502075195, 28.59539222717285, 28.345216751098633, 28.65772819519043, 28.681760787963867, 28.43846321105957, 28.580480575561523, 28.33910369873047, 28.53286361694336]",[0.7499520182609558],[648.1749267578125],[651.0128784179688],[0.12678399682044983],[0.11750400066375732],
2025-12-26T12:25:44.273577+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S5,C4,C4,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=False)",False,0,1,10,6144,72576,2.7352345865964945e-09,"{'iterations': 32, 'residual norms': [9.4227533125164, 6.677180433623959, 5.346855625870131, 1.989756740843137, 0.39738798003997916, 0.21004611834604472, 0.15142294741412934, 0.10112600094048, 0.023338982523666667, 0.010142956972715965, 0.005021492766907468, 0.004243835364389508, 0.0027383234618644225, 0.0009143254728152, 0.0003716167890688532, 0.00021056442910545573, 0.00018880865242783528, 6.506457684255343e-05, 3.10961296560869e-05, 1.2367725717225169e-05, 6.338991089851905e-06, 4.245385085190853e-06, 2.7199536246445532e-06, 8.580722624908035e-07, 4.813183415716628e-07, 2.0998567717154805e-07, 1.715672387485497e-07, 7.491689541734442e-08, 2.3960142796534388e-08, 1.6702152495747994e-08, 1.141576164660491e-08, 6.282868409593835e-09, 2.7352332202266323e-09], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[17.21891212463379, 16.456928253173828, 16.548799514770508, 16.44060707092285, 16.531648635864258, 16.473535537719727, 16.414335250854492, 16.21116828918457, 16.22275161743164, 16.55353546142578]",[0.6636160016059875],[634.5997314453125],[647.2581176757812],[0.10681600123643875],[0.09359999746084213],
2025-12-26T12:25:45.266238+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S5,C4,C4,"CG(AMGX(L1_TRUNC, torch.float32), bsr_matmul=False)",False,0,1,10,6144,72576,2.830938120122816e-09,"{'iterations': 31, 'residual norms': [3.356763832674468, 5.61994966051247, 3.04019419000436, 1.7729654532597274, 0.9029038933132131, 0.41492474546040076, 0.18173483330806534, 0.08713808278533901, 0.04367296784513615, 0.022501923000392922, 0.010966927914799323, 0.0052637696181463784, 0.0025943348681526967, 0.0012068825358734134, 0.0005868522803016184, 0.0002886283066485919, 0.00014123355661064575, 6.821321014815638e-05, 3.24685500795057e-05, 1.532253734133005e-05, 7.564142131095626e-06, 3.921628695481738e-06, 1.9458032784513406e-06, 9.383718905448648e-07, 4.4193848176843495e-07, 2.163372281840076e-07, 1.0964318866802014e-07, 5.291467574365412e-08, 2.46585312760475e-08, 1.1696916847262192e-08, 5.642519538564285e-09, 2.8309374493089917e-09], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[14.251296043395996, 13.56265640258789, 13.510175704956055, 13.547231674194336, 13.73964786529541, 13.652447700500488, 13.517727851867676, 13.5982084274292, 13.532608032226562, 13.506175994873047]",[0.6510400176048279],[631.6115112304688],[46.69027328491211],[0.15030400454998016],[0.09471999853849411],
2025-12-26T12:25:46.264308+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S5,C4,C4,"CG(AMGX(L1_TRUNC, None), bsr_matmul=False)",False,0,1,10,6144,72576,2.8309370969212053e-09,"{'iterations': 31, 'residual norms': [3.356763832674468, 5.619949502261163, 3.0401942156819217, 1.7729653314068126, 0.902903897941748, 0.4149247469097622, 0.18173484033621085, 0.08713808436327, 0.043672969354039325, 0.02250192250853611, 0.010966928479410304, 0.005263769706761514, 0.0025943350268273716, 0.0012068825780249773, 0.0005868523245480404, 0.0002886283229145353, 0.00014123356108411563, 6.821321350872558e-05, 3.246855341777903e-05, 1.5322539205283996e-05, 7.564143128882353e-06, 3.921629519494627e-06, 1.945803965844118e-06, 9.383722881569829e-07, 4.4193865512630774e-07, 2.1633731425091476e-07, 1.0964322006077295e-07, 5.291468701290285e-08, 2.4658537533191908e-08, 1.1696919339401021e-08, 5.642521031767844e-09, 2.8309380228013286e-09], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[14.168479919433594, 13.73203182220459, 13.691679954528809, 13.61292839050293, 13.59113597869873, 13.623616218566895, 13.662879943847656, 13.661184310913086, 13.715935707092285, 13.670047760009766]",[0.7451840043067932],[629.796630859375],[46.16940689086914],[0.15596799552440643],[0.1029760017991066],
2025-12-26T12:25:49.628224+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S6,C5,C5,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,24576,292608,1.0607233564972006e-09,"{'iterations': 59, 'residual norms': [1.7191755007558083, 9.816384215550238, 7.974228985100409, 6.389953031595197, 3.070323458427018, 0.7950836692453567, 0.2900791396823738, 0.17599599313953437, 0.10363316017050979, 0.09836014431133927, 0.11951478000332524, 0.04555891408659591, 0.01841796727013507, 0.016118000849890346, 0.01539755045371824, 0.014002332491444123, 0.005571005723413842, 0.0023954748124125863, 0.002633690170604603, 0.002395743090654153, 0.0016777822879938844, 0.0008633619566082607, 0.0005304572713902294, 0.00038916088660716566, 0.00026634348281753746, 0.0002674282214734896, 0.00020882978698424785, 9.560569886626021e-05, 4.6655917081561495e-05, 4.0707820557542224e-05, 4.242828908598306e-05, 2.3906228696229896e-05, 1.5902677361368148e-05, 1.0823856296426831e-05, 5.078060582128493e-06, 5.200547557292944e-06, 4.890194997143226e-06, 2.7841087927247204e-06, 1.4726587503951885e-06, 9.043668156454522e-07, 7.603705716112156e-07, 6.916298936965064e-07, 5.045056074950432e-07, 2.77334018297662e-07, 1.6123738701752686e-07, 1.2310855184872202e-07, 1.1232254267548122e-07, 7.714018333590147e-08, 4.850188639281481e-08, 3.289313196304323e-08, 2.761944964068065e-08, 1.898766929068424e-08, 1.3936831480639469e-08, 1.013366684661162e-08, 5.581696447362861e-09, 4.750937548450985e-09, 3.9972942932230686e-09, 2.834916654540929e-09, 1.8213222482698078e-09, 1.0607232220917513e-09], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[970.4019165039062, 77.47164916992188, 77.49625396728516, 77.01142120361328, 78.21186828613281, 77.19983673095703, 76.598876953125, 75.9780502319336, 75.82640075683594, 75.34764862060547]",[1.4690879583358765],[641.9785766601562],[724.9447631835938],[0.19616000354290009],[0.14486399292945862],
2025-12-26T12:25:52.022782+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S6,C5,C5,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=True)",False,0,1,10,24576,292608,8.669955139057585e-10,"{'iterations': 33, 'residual norms': [9.581246143714717, 7.0714538210777125, 5.123579877428411, 1.313936620882118, 0.3236710509952521, 0.2432203098860605, 0.1949664710249584, 0.06673237041009437, 0.026023779658929175, 0.008645714557932692, 0.003913152739079802, 0.003488923240155384, 0.002239490236825326, 0.0006015633749488848, 0.0002858464906198818, 0.00015292532184278958, 0.00013286135929969022, 6.371041455894037e-05, 1.78529460532519e-05, 1.0547479529621658e-05, 4.627924184275823e-06, 3.964282655294608e-06, 1.5946925000829055e-06, 8.259111631185737e-07, 3.4514085726868374e-07, 1.8584324716496107e-07, 1.5557017908353457e-07, 5.265770750025813e-08, 2.3016437964567963e-08, 1.4902535237460097e-08, 1.0196601889275273e-08, 4.698289956695699e-09, 1.869686351385132e-09, 8.669946195105827e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[305.3189697265625, 40.798622131347656, 41.009822845458984, 40.88371276855469, 40.76617431640625, 40.708641052246094, 41.063201904296875, 41.50700759887695, 41.03353500366211, 41.05705642700195]",[0.991487979888916],[654.845703125],[757.4192504882812],[0.14739200472831726],[0.12086399644613266],
2025-12-26T12:25:53.526038+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S6,C5,C5,"CG(AMGX(L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,24576,292608,1.3712999103980265e-09,"{'iterations': 33, 'residual norms': [1.7191755007558083, 5.486863733593934, 3.1062652254954646, 1.857178176298939, 0.9592758965763931, 0.43200943606924996, 0.20002851838117947, 0.09608503054474012, 0.04876910767054766, 0.02459593219956099, 0.012078893094789045, 0.0061205673446748385, 0.003155346022692202, 0.0014932491149757322, 0.0007162952703297056, 0.0003663504484182635, 0.0001896420886281313, 9.680175939724985e-05, 4.800444057771957e-05, 2.3379787499149862e-05, 1.1749933384696228e-05, 6.034321588647891e-06, 3.0080407761307323e-06, 1.4590005999081109e-06, 7.141497890798635e-07, 3.565989368493802e-07, 1.8003284861997257e-07, 9.005088478142756e-08, 4.43336720963313e-08, 2.201489348145587e-08, 1.1122290771020068e-08, 5.4548662017903e-09, 2.679381407574197e-09, 1.3713015213347206e-09], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[131.9490203857422, 38.85340881347656, 38.79673767089844, 38.7474250793457, 38.53785705566406, 38.74003219604492, 38.83078384399414, 38.88835144042969, 38.31398391723633, 38.34329605102539]",[0.9911999702453613],[683.5418701171875],[53.93609619140625],[0.2043839991092682],[0.13705599308013916],
2025-12-26T12:25:55.027407+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S6,C5,C5,"CG(AMGX(L1_TRUNC, None), bsr_matmul=True)",False,0,1,10,24576,292608,1.3713012781916632e-09,"{'iterations': 33, 'residual norms': [1.7191755007558083, 5.486863960956387, 3.1062655182395877, 1.8571784138586893, 0.9592759943564884, 0.43200950439950114, 0.20002854924522895, 0.09608504832059184, 0.04876911950888686, 0.024595937497888975, 0.012078895128467904, 0.006120568412286536, 0.0031553467103623925, 0.0014932494309665384, 0.0007162954356147791, 0.0003663505172379771, 0.0001896421214135452, 9.680177138456446e-05, 4.800444805146117e-05, 2.337979240458515e-05, 1.1749936725563992e-05, 6.034323528986456e-06, 3.008041642752166e-06, 1.4590010982491582e-06, 7.14150120111022e-07, 3.5659913905704217e-07, 1.8003295119254344e-07, 9.005093832134699e-08, 4.4333702555795666e-08, 2.2014908305762204e-08, 1.112229872223804e-08, 5.454870747270485e-09, 2.6793838599161662e-09, 1.371302967161741e-09], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[134.4699249267578, 40.071231842041016, 39.97430419921875, 39.64303970336914, 39.29955291748047, 39.72342300415039, 39.71311950683594, 40.03852844238281, 39.71638488769531, 39.90803146362305]",[1.0615359544754028],[677.8250122070312],[51.1973762512207],[0.17056000232696533],[0.1316159963607788],
2025-12-26T12:25:56.128130+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S6,C5,C5,"AMGX(CG_L1_TRUNC, None)",False,0,1,10,24576,292608,1.3713019189359333e-09,{},,"[9.71878433227539, 9.599583625793457, 9.577983856201172, 9.597760200500488, 9.584927558898926, 9.565888404846191, 9.574080467224121, 9.6014404296875, 9.59331226348877, 9.593631744384766]",[1.0653760433197021],[680.3194580078125],[49.886112213134766],[0.17395199835300446],[0.12041600048542023],
